"title","distributor","year","month","total_revenue","total_theaters","tconst","primaryTitle","runtimeMinutes","averageRating","numVotes","budget_x","director","genre","isHolidaySeason","season","isTopFiveDistributor","isTopTenDirector"
"Five Feet Apart","Lionsgate",2019,5,45729221,2866,"tt6472976","Five Feet Apart",116,7.2,86685,7e+06,"Justin Baldoni","Drama",0,2,1,0
"Ma","Universal Pictures",2019,7,45373120,2816,"tt7958736","Ma",99,5.6,60893,5e+06,"Tate Taylor","Horror",0,3,1,0
"Wonder Park","Paramount Pictures",2019,5,45216793,3838,"tt6428676","Wonder Park",85,5.9,12895,1e+08,"Dylan Brown","Adventure",0,2,0,0
"Rambo: Last Blood","Lionsgate",2019,11,44819352,3618,"tt1206885","Rambo: Last Blood",89,6.1,112233,5e+07,"Adrian Grunberg","Action",1,4,1,0
"Playing with Fire","Paramount Pictures",2019,12,44151387,3185,"tt9134216","Playing with Fire",96,5.1,16819,29900000,"Andy Fickman","Comedy",1,4,0,0
"A Dog's Way Home","Sony Pictures Entertainment (SPE)",2019,3,41952715,3090,"tt7616798","A Dog's Way Home",96,6.7,20600,1.8e+07,"Charles Martin Smith","Adventure",0,1,1,0
"The Angry Birds Movie 2","Sony Pictures Entertainment (SPE)",2019,11,41667116,3869,"tt6095472","The Angry Birds Movie 2",97,6.4,36830,6.5e+07,"Thurop Van Orman","Action",1,4,1,0
"Little","Universal Pictures",2019,6,40673960,2667,"tt8085790","Little",109,5.5,14813,2e+07,"Tina Gordon","Comedy",0,2,1,0
"Crawl","Paramount Pictures",2019,9,39014193,3170,"tt8364368","Crawl",87,6.1,96449,1.7e+07,"Alexandre Aja","Action",0,3,0,0
"The Intruder","Screen Gems",2019,6,35419122,2231,"tt6722030","The Intruder",102,5.6,19964,8e+06,"Deon Taylor","Horror",0,2,0,0
"The Hustle","United Artists Releasing",2019,7,35417038,3077,"tt1298644","The Hustle",93,5.5,66918,2.1e+07,"Chris Addison","Comedy",0,3,0,0
"Last Christmas","Universal Pictures",2019,12,35116450,3454,"tt8623904","Last Christmas",103,6.5,91660,3e+07,"Paul Feig","Comedy",1,4,1,0
"Overcomer","Affirm Films",2019,12,34746945,2293,"tt8186318","Overcomer",119,6.7,5895,5e+06,"Alex Kendrick","Drama",1,4,0,0
"Cold Pursuit","Lionsgate",2019,4,32138862,2630,"tt5719748","Cold Pursuit",119,6.2,79553,6e+07,"Hans Petter Moland","Action",0,2,1,0
"Doctor Sleep","Warner Bros.",2019,12,31543097,3855,"tt5606664","Doctor Sleep",152,7.3,225125,4.5e+07,"Mike Flanagan","Drama",1,4,1,1
"Long Shot","Lionsgate",2019,6,30316271,3230,"tt2139881","Long Shot",125,6.8,123867,4e+07,"Jonathan Levine","Comedy",0,2,1,0
"Child's Play","United Artists Releasing",2019,8,29208403,3007,"tt8663516","Child's Play",90,5.7,57482,1e+07,"Lars Klevberg","Drama",0,3,0,0
"Ready or Not","Fox Searchlight Pictures",2019,10,28714231,2998,"tt7798634","Ready or Not",95,6.9,193409,6e+06,"Matt Bettinelli-Olpin","Action",1,4,0,0
"Happy Death Day 2U","Universal Pictures",2019,4,28051045,3212,"tt8155288","Happy Death Day 2U",100,6.2,88283,9e+06,"Christopher Landon","Comedy",0,2,1,0
"21 Bridges","STX Entertainment",2019,12,27747269,2665,"tt8688634","21 Bridges",99,6.6,76300,3.3e+07,"Brian Kirk","Action",1,4,0,0
"The Art of Racing in the Rain","Twentieth Century Fox",2019,10,26395642,2765,"tt1478839","The Art of Racing in the Rain",109,7.6,39812,1.8e+07,"Simon Curtis","Comedy",1,4,0,0
"Countdown","STX Entertainment",2019,12,25594369,2675,"tt10039344","Countdown",90,5.4,47660,6500000,"Justin Dec","Horror",1,4,0,0
"Fighting with My Family","Metro-Goldwyn-Mayer (MGM)",2019,5,22958886,2855,"tt6513120","Fighting with My Family",108,7,89209,1.1e+07,"Stephen Merchant","Biography",0,2,0,0
"Booksmart","United Artists Releasing",2019,8,22680962,2518,"tt1489887","Booksmart",102,7.1,133996,6e+06,"Olivia Wilde","Comedy",0,3,0,0
"A Dog's Journey","Universal Pictures",2019,7,22546590,3279,"tt8385474","A Dog's Journey",109,7.4,29759,20610000,"Gail Mancuso","Adventure",0,3,1,0
"Stuber","Twentieth Century Fox",2019,8,22370452,3050,"tt7734218","Stuber",93,6.2,52263,1.6e+07,"Michael Dowse","Action",0,3,0,0
"Parasite","Neon",2019,12,22328478,620,"tt6751668","Parasite",132,8.5,1000990,11363000,"Bong Joon Ho","Drama",1,4,0,1
"47 Meters Down: Uncaged","Entertainment Studios Motion Pictures",2019,11,22260900,2883,"tt7329656","47 Meters Down: Uncaged",90,5,31635,1.2e+07,"Johannes Roberts","Adventure",1,4,0,0
"Hellboy","Lionsgate",2019,5,21903748,3303,"tt2274648","Hellboy",120,5.3,102256,6e+07,"Neil Marshall","Action",0,2,1,0
"Jojo Rabbit","Fox Searchlight Pictures",2019,12,21059726,995,"tt2584384","Jojo Rabbit",108,7.9,453037,1.4e+07,"Taika Waititi","Comedy",1,4,0,1
"The Peanut Butter Falcon","Roadside Attractions",2019,12,20457151,1490,"tt4364194","The Peanut Butter Falcon",97,7.6,109184,6200000,"Tyler Nilson","Adventure",1,4,0,0
"UglyDolls","STX Entertainment",2019,7,20150241,3652,"tt1946502","UglyDolls",87,5.1,8004,4.5e+07,"Kelly Asbury","Adventure",0,3,0,0
"Cats","Universal Pictures",2019,12,19970095,3380,"tt5697572","Cats",110,2.8,56677,1e+08,"Tom Hooper","Comedy",1,4,1,0
"Brightburn","Screen Gems",2019,6,17300439,2607,"tt7752126","Brightburn",90,6.1,110747,6e+06,"David Yarovesky","Drama",0,2,0,0
"The Good Liar","Warner Bros.",2019,12,16973279,2454,"tt5563334","The Good Liar",109,6.7,49087,1e+07,"Bill Condon","Crime",1,4,1,0
"The Kid Who Would Be King","Twentieth Century Fox",2019,4,16790790,3528,"tt6811018","The Kid Who Would Be King",120,6.1,19130,5.9e+07,"Joe Cornish","Action",0,2,0,0
"Missing Link","United Artists Releasing",2019,7,16649539,3437,"tt6348138","Missing Link",93,6.7,29291,1e+08,"Chris Butler","Adventure",0,3,0,0
"Miss Bala","Sony Pictures Entertainment (SPE)",2019,3,15006824,2203,"tt5941692","Miss Bala",104,5.8,13214,1.5e+07,"Catherine Hardwicke","Action",0,1,1,0
"The Prodigy","Orion Pictures",2019,4,14856291,2530,"tt4504044","The Prodigy",92,5.9,29287,6e+06,"Nicholas McCarthy","Fantasy",0,2,0,0
"The Kitchen","Warner Bros.",2019,10,12180032,2745,"tt5822564","The Kitchen",102,5.6,23270,3.8e+07,"Andrea Berloff","Action",1,4,1,0
"After","Aviron Pictures",2019,6,12138565,2138,"tt4126476","After",105,5.3,68528,1.4e+07,"Jenny Gage","Drama",0,2,0,0
"Blinded by the Light","Warner Bros.",2019,10,11901145,2307,"tt8266310","Blinded by the Light",118,6.9,27651,1.5e+07,"Gurinder Chadha","Comedy",1,4,1,0
"Greta","Focus Features",2019,4,10519425,2417,"tt9477532","Greta",97,6.2,432,100600000,"Armando Praça","Drama",0,2,0,0
"The Best of Enemies","STX Entertainment",2019,5,10205616,1705,"tt4807408","The Best of Enemies",133,7.3,20156,1e+07,"Robin Bissell","Biography",0,2,0,0
"Motherless Brooklyn","Warner Bros.",2019,12,9277736,1342,"tt0385887","Motherless Brooklyn",144,6.8,63713,2.6e+07,"Edward Norton","Crime",1,4,1,0
"No Manches Frida 2","Pantelion Films",2019,5,9270920,472,"tt9019352","No Manches Frida 2",102,4.3,1236,102200000,"Nacho G. Velilla","Comedy",0,2,0,0
"Where'd You Go, Bernadette","United Artists Releasing",2019,10,9198356,2404,"tt2365580","Where'd You Go, Bernadette",109,6.5,26063,2e+07,"Richard Linklater","Comedy",1,4,0,0
"Apollo 11","Neon",2019,7,9039891,588,"tt8760684","Apollo 11",93,8.1,27582,146780000,"Todd Douglas Miller","Documentary",0,3,0,0
"Serenity","Aviron Pictures",2019,3,8543442,2561,"tt6476140","Serenity",106,5.4,46388,3.9e+07,"Steven Knight","Drama",0,1,0,0
"The Dead Don't Die","Focus Features",2019,7,6563605,690,"tt8695030","The Dead Don't Die",104,5.5,88427,20700000,"Jim Jarmusch","Comedy",0,3,0,0
"Jexi","Lionsgate",2019,11,6546159,2332,"tt9354944","Jexi",84,6.1,32047,5e+06,"Jon Lucas","Comedy",1,4,1,0
"Captive State","Focus Features",2019,4,5958315,2549,"tt5968394","Captive State",109,6,58936,2.5e+07,"Rupert Wyatt","Action",0,2,0,0
"The Wandering Earth","CMC Pictures",2019,4,5875487,129,"tt7605074","The Wandering Earth",125,5.9,37099,4.8e+07,"Frant Gwo","Action",0,2,0,0
"Arctic Dogs","Entertainment Studios Motion Pictures",2019,12,5801249,2844,"tt4426464","Arctic Dogs",92,4.8,2321,5e+07,"Aaron Woodley","Adventure",1,4,0,0
"The Goldfinch","Warner Bros.",2019,10,5332621,2542,"tt3864056","The Goldfinch",149,6.4,27715,4e+07,"John Crowley","Crime",1,4,1,0
"Don't Let Go","-",2019,10,5215062,922,"tt6803212","Don't Let Go",103,6.4,13636,5e+06,"Jacob Estes","Drama",1,4,0,0
"Tolkien","Fox Searchlight Pictures",2019,6,4535154,1501,"tt3361792","Tolkien",112,6.8,47925,2e+07,"Dome Karukoski","Biography",0,2,0,0
"Promare","GKIDS",2019,12,2287950,701,"tt9116358","Promare",111,7,5401,59500000,"Hiroyuki Imaishi","Action",1,4,0,0
"3 from Hell","Saban Films",2019,9,1809226,667,"tt8134742","3 from Hell",115,5.4,18688,3e+06,"Rob Zombie","Action",0,3,0,0
"The Other Side of Heaven 2: Fire of Faith","ArtAffects Entertainment",2019,10,1806140,205,"tt8174450","The Other Side of Heaven 2: Fire of Faith",117,5.6,480,1.34e+08,"Mitch Davis","Adventure",1,4,0,0
"The Aftermath","Fox Searchlight Pictures",2019,5,1618497,344,"tt5977276","The Aftermath",108,6.3,24275,41540000,"James Kent","Drama",0,2,0,0
"Official Secrets","IFC Films",2019,11,699446,485,"tt5431890","Official Secrets",112,7.3,55970,134200000,"Gavin Hood","Biography",1,4,0,0
"Junglee","Viva Pictures",2019,4,248695,70,"tt7463730","Junglee",115,5.5,2310,140800000,"Chuck Russell","Action",0,2,0,0
"Pain and Glory","Sony Pictures Classics",2019,11,237000,266,"tt8291806","Pain and Glory",113,7.5,64184,10769016,"Pedro Almodóvar","Drama",1,4,0,0
"Ne Zha","Well Go USA Entertainment",2019,8,149055,55,"tt10627720","Ne Zha",110,7.4,8719,2e+07,"Yu Yang","Action",0,3,0,0
"Portrait of a Lady on Fire","Neon",2019,12,118603,2,"tt8613070","Portrait of a Lady on Fire",122,8.1,113853,5740000,"Céline Sciamma","Drama",1,4,0,0
"White Snake","GKIDS",2019,12,34730,21,"tt9288776","White Snake",99,7,5556,11936735,"Amp Wong","Action",1,4,0,0
"Extreme Job","CJ Entertainment",2019,1,3107,2,"tt9541602","Extreme Job",111,7,13527,8120000,"Lee Byeong-heon","Action",1,1,0,0
